epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,8677.21,1.39887,2.64915,1.1555,1.1734,0,0.5396,0.39597,0.38953,0.24537,0.48413,0.34802,0.31363,0.132,1.50289,2.77194,1.22356,1.17873,0,0.000665057,0.000665057,0.000665057
29,8984.9,1.39793,2.64214,1.14671,1.16761,0,0.54443,0.39364,0.38906,0.24592,0.49091,0.34545,0.31585,0.13327,1.49771,2.79858,1.21909,1.17365,0,0.000636762,0.000636762,0.000636762
30,9292.38,1.38889,2.63472,1.14084,1.16658,0,0.54876,0.39636,0.3944,0.2487,0.49484,0.34865,0.31832,0.13334,1.49131,2.76898,1.21076,1.17364,0,0.000608468,0.000608468,0.000608468
31,9599.39,1.38724,2.63049,1.13836,1.16465,0,0.55316,0.39333,0.39096,0.24662,0.49522,0.34834,0.31597,0.13356,1.50073,2.77412,1.21632,1.17272,0,0.000580174,0.000580174,0.000580174
32,9906.24,1.37997,2.61927,1.13192,1.16146,0,0.55045,0.39612,0.39353,0.24839,0.4967,0.35109,0.32286,0.13645,1.48838,2.743,1.20719,1.17068,0,0.00055188,0.00055188,0.00055188
33,10213.8,1.37394,2.60408,1.13137,1.16037,0,0.55071,0.3957,0.39365,0.24956,0.49943,0.34826,0.31764,0.13388,1.48797,2.75027,1.20778,1.16491,0,0.000523586,0.000523586,0.000523586
34,10522.4,1.37185,2.59901,1.12363,1.15714,0,0.55659,0.39694,0.39606,0.25215,0.50249,0.35125,0.32392,0.1368,1.48159,2.75015,1.20086,1.16412,0,0.000495291,0.000495291,0.000495291
35,10830.2,1.36938,2.59719,1.11884,1.15839,0,0.55247,0.40063,0.39685,0.25244,0.50593,0.35413,0.32564,0.13832,1.476,2.73254,1.19295,1.16644,0,0.000466997,0.000466997,0.000466997
36,11138.9,1.36866,2.60348,1.11907,1.15598,0,0.55343,0.39914,0.39756,0.25191,0.50397,0.35331,0.32467,0.13686,1.48132,2.73185,1.19799,1.16462,0,0.000438703,0.000438703,0.000438703
37,11447.4,1.36035,2.58488,1.10781,1.15078,0,0.55784,0.40039,0.39965,0.2542,0.51109,0.35537,0.32912,0.14011,1.47516,2.72523,1.18619,1.1583,0,0.000410409,0.000410409,0.000410409
38,11755.3,1.35695,2.58192,1.10261,1.14848,0,0.55297,0.40257,0.40028,0.25468,0.50354,0.35969,0.33077,0.14075,1.47022,2.70528,1.18532,1.15716,0,0.000382115,0.000382115,0.000382115
39,12063.3,1.35449,2.56719,1.0988,1.14826,0,0.55928,0.39819,0.3996,0.25315,0.50927,0.35406,0.32768,0.13898,1.48261,2.74513,1.18624,1.16146,0,0.00035382,0.00035382,0.00035382
40,12368.6,1.34764,2.57575,1.09425,1.14457,0,0.56063,0.40052,0.40235,0.2558,0.51039,0.35963,0.33424,0.14256,1.46458,2.69452,1.18224,1.15679,0,0.000325526,0.000325526,0.000325526
41,12657.9,1.41274,2.60057,1.14035,1.16783,0,0.55503,0.4028,0.39963,0.25389,0.5021,0.35771,0.32672,0.13867,1.47398,2.71931,1.1902,1.15957,0,0.000297232,0.000297232,0.000297232
42,12934.2,1.39894,2.58202,1.11929,1.16166,0,0.55777,0.40229,0.40085,0.25475,0.51145,0.35669,0.33152,0.14106,1.47352,2.71943,1.18381,1.15842,0,0.000268938,0.000268938,0.000268938
43,13209.8,1.39157,2.57848,1.11204,1.15778,0,0.5628,0.40278,0.40303,0.25608,0.50978,0.35886,0.33398,0.14261,1.46381,2.69415,1.18072,1.15658,0,0.000240644,0.000240644,0.000240644
44,13486.3,1.38404,2.57202,1.10121,1.15273,0,0.56159,0.40213,0.40268,0.25561,0.50893,0.36033,0.33423,0.14214,1.47369,2.71492,1.17793,1.15657,0,0.000212349,0.000212349,0.000212349
45,13761.9,1.37906,2.55439,1.0992,1.15054,0,0.55733,0.4052,0.40262,0.25749,0.51216,0.36263,0.33683,0.14378,1.46603,2.69687,1.17712,1.15314,0,0.000184055,0.000184055,0.000184055
46,14036.4,1.3742,2.55806,1.09288,1.14793,0,0.55766,0.40444,0.40254,0.25555,0.50663,0.3613,0.33238,0.14148,1.4729,2.71564,1.17874,1.15621,0,0.000155761,0.000155761,0.000155761
47,14312.9,1.36496,2.54127,1.08519,1.14276,0,0.55941,0.40463,0.404,0.25594,0.51209,0.35846,0.33382,0.14309,1.47149,2.70983,1.17729,1.15596,0,0.000127467,0.000127467,0.000127467
48,14588,1.36527,2.53988,1.07907,1.14327,0,0.56618,0.40271,0.40432,0.25791,0.51108,0.35858,0.33405,0.14379,1.4648,2.69736,1.17281,1.15403,0,9.91726e-05,9.91726e-05,9.91726e-05
49,14861.9,1.35711,2.52479,1.07092,1.14093,0,0.5643,0.40422,0.40464,0.25765,0.51726,0.35769,0.33498,0.14368,1.46474,2.70081,1.16919,1.15343,0,7.08784e-05,7.08784e-05,7.08784e-05
50,15136.6,1.35085,2.51957,1.06525,1.13751,0,0.56387,0.404,0.40562,0.25834,0.51848,0.36069,0.33805,0.14509,1.46139,2.68723,1.16926,1.15326,0,4.25842e-05,4.25842e-05,4.25842e-05
